uuid,datetime_recorded,med_start_time,med_prob,msc_start_time,msc_end_time,med_stop_time,ae aegypti,an arabiensis,an coustani,an funestus ss,an squamosus,culex pipiens complex,ma africanus,ma uniformis
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,19.84,0.7788,19.2,21.119999999999997,21.759999999999998,2.271632482120367e-08,1.5071219650053536e-07,1.4476767340454444e-08,8.37597013969571e-09,4.80953898929215e-09,2.3254439440734131e-07,5.580290451945302e-09,0.9999995231628418
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,35.84,0.8164,21.12,23.04,37.760000000000005,3.4290064832021017e-07,0.0006562085472978652,1.350425463897409e-06,4.6498459482791077e-07,1.9698114783750498e-07,9.898663847707212e-05,1.8283029135091056e-07,0.9992421865463257
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,37.760000000000005,0.8164,23.04,24.96,39.68000000000001,2.6721357926362543e-07,6.237468915060163e-05,4.0683158886167803e-07,1.5374564554804238e-07,2.072728761959297e-07,1.832695306802634e-05,6.8026388078124e-08,0.9999181032180786
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,39.68000000000001,0.8164,24.96,26.880000000000003,41.60000000000001,4.4856083292188487e-08,1.391039950249251e-05,2.031975157024135e-07,1.0555385010491136e-08,3.0198581413287684e-08,2.1071457467769505e-06,2.2469468508035106e-09,0.9999836683273315
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,41.599999999999994,0.8164,26.88,28.799999999999997,43.519999999999996,2.3870249776791752e-08,2.1583399245628243e-07,2.486510375376838e-08,1.0515041282133097e-08,1.4035833828529576e-08,2.1064748523258459e-07,1.2029025775461832e-08,0.9999995231628418
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,43.519999999999996,0.8164,28.8,30.72,45.44,4.99617897276039e-07,0.00040602521039545536,8.844798685458954e-06,2.8688043585134437e-07,2.4484231175847526e-07,0.0002843995171133429,1.8847319438464183e-07,0.9992994070053101
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,45.44,0.8164,30.72,32.64,47.36,9.236443077043077e-08,7.654750788788078e-07,4.0583574900665553e-07,9.768694297918046e-09,1.286998330130018e-08,5.179041636438342e-06,7.691499881445907e-09,0.9999935626983643
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,47.36,0.8164,32.64,34.56,49.28,1.4546798183801002e-06,0.0129774771630764,3.4030603274004534e-05,1.6155549928953405e-06,5.282366828396334e-07,2.466093974362593e-05,2.5783194246287167e-07,0.9869599938392639
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,49.28,0.8164,34.56,36.480000000000004,51.2,7.434392301775006e-08,0.00017670814122539014,3.2247240255856013e-07,1.2480529676395236e-07,1.3998395331782376e-07,3.6413396173884394e-06,4.3808103811215915e-08,0.9998189806938171
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,51.2,0.8164,36.48,38.4,53.120000000000005,4.6442781354016915e-07,4.4734948460245505e-05,1.2414931234161486e-06,1.272788239248257e-07,3.6043337559021893e-07,1.8027977830570308e-06,1.4937587877739134e-07,0.9999511241912842
